"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U5";"DIP-48_W15.24mm_LongPads";1;"5719_Gary";;;
2;"U7,U8";"DIP-40_W15.24mm_LongPads";2;"8520_CIA";;;
3;"U39";"SOIC127P600X175-14N";1;"MAX1489ECSD+";;;
4;"R456,R458,R454";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"374R";;;
5;"HY1";"PinHeader_1x22_P2.54mm_Vertical";1;"VIDEOHYBRID";;;
6;"U41,U40";"SOIC127P1030X265-20N";2;"SN74HCT245DWR";;;
7;"U2.2";"PLCC-84_THT-Socket";1;"8372_FatAgnus1MB";;;
8;"BT9";"SMTU2032LF";1;"COINCELL";;;
9;"U2.1";"PLCC-84_THT-Socket";1;"8375_FatAgnus2MB";;;
10;"U201";"SOJ-42";1;"HYB5118160BSJ";;;
11;"U20,U23,U22,U21,U19,U18,U17,U16";"DIP-20_W7.62mm_LongPads";8;"HYB514256B";;;
12;"U11,U34,U13";"SOIC127P1030X265-20N";3;"SN74LS373DW";;;
13;"U10,U12";"SOIC127P1030X265-20N";2;"SN74LS244DW";;;
14;"U1";"DIP-64_W22.86mm_LongPads";1;"68000D";;;
15;"G***,G***,G***";"RedKeg500";3;"LOGO";;;
16;"TC9";"C_Trimmer_Voltronics_JZ";1;"8-40 pF (JZ400)";;;
17;"C402,C401,C307";"CAPAE1350X1400N";3;"1000 uF";;;
18;"D912,D99";"SOD3716X115N";2;"1N4148W-7-F";;;
19;"Y460";"XTAL_HC49";1;"17.734 475 MHz 18 pF";;;
20;"Y9";"LFXTAL002995BULK";1;"LFXTAL002995Bulk";;;
21;"X1";"Oscillator_DIP-14";1;"ACO-28.37516MHz";;;
22;"V20,V19,V18,V17,V16,V15,V14,V13,V12,V11,V10,V9,V8,V7,V6,V5,V4,V3,V2,V1";"SolderWirePad_1x01_Drill0.8mm";20;"Conn_01x01_Male";;;
23;"U45";"AD723ARUZ";1;"AD723ARUZ";;;
24;"U42";"SOIC127P600X175-8N";1;"NE555DR";;;
25;"U38";"SOIC127P600X175-14N";1;"MAX1488ECSD+";;;
26;"U37";"SN74LS32NSR";1;"74LS32";;;
27;"U36";"SOIC127P600X175-14N";1;"SN74LS05DR";;;
28;"U35";"SOIC127P1032X265-20N";1;"N74F244D";;;
29;"U33.1";"SN74F04DR";1;"SN74F04DR";;;
30;"U33";"SOIC127P600X175-16N";1;"SN74F258D";;;
31;"U32";"MC74AC139DR2G";1;"MC74AC139DR2G";;;
32;"U15";"SN74LS157DR";1;"SN74LS157DR";;;
33;"U14";"SOIC127P600X175-14N";1;"TL084";;;
34;"U9";"DIP-18_W7.62mm_LongPads";1;"RTC72421";;;
35;"U6";"DIP-42_W15.24mm_Socket_LongPads";1;"ROM_SOCKET";;;
36;"U4";"DIP-48_W15.24mm_LongPads";1;"8373_DeniseECS";;;
37;"U3";"DIP-48_W15.24mm_LongPads";1;"8364_Paula";;;
38;"TP9";"TestPoint_Pad_1.0x1.0mm";1;"TestPoint";;;
39;"RP501.5,RP501.6,RP501.4,RP501.3,RP501.2,RP501.7,RP501.8,RP501.1,R914,R912,R506,R505,R501,R339,R333,R332,R323,R322,R308,R306";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";20;"10K";;;
40;"RP403.2,RP403.5,RP402.1,RP402.2,RP402.3,RP402.4,RP402.5,RE531,RE434";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";9;"47R";;;
